"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","absolute_url","cluster","year_filed","scdb_id","scdb_decision_direction","scdb_votes_majority","scdb_votes_minority"
"justice powell","majority",FALSE,"Moore v. Illinois",1977-12-12,"434 U.S. 220","https://www.courtlistener.com/opinion/109757/moore-v-illinois/","https://www.courtlistener.com/api/rest/v3/clusters/109757/",1977,"1977-018",2,8,0
"justice rehnquist","concurring",FALSE,"Moore v. Illinois",1977-12-12,"434 U.S. 220","https://www.courtlistener.com/opinion/109757/moore-v-illinois/","https://www.courtlistener.com/api/rest/v3/clusters/109757/",1977,"1977-018",2,8,0
"justice white","majority",FALSE,"Davis v. Bandemer",1986-06-30,"478 U.S. 109","https://www.courtlistener.com/opinion/111737/davis-v-bandemer/","https://www.courtlistener.com/api/rest/v3/clusters/111737/",1986,"1985-143",1,6,3
"justice burger","concurring",FALSE,"Davis v. Bandemer",1986-06-30,"478 U.S. 109","https://www.courtlistener.com/opinion/111737/davis-v-bandemer/","https://www.courtlistener.com/api/rest/v3/clusters/111737/",1986,"1985-143",1,6,3
"justice marshall","majority",FALSE,"Herman & MacLean v. Huddleston",1983-01-24,"459 U.S. 375","https://www.courtlistener.com/opinion/110825/herman-maclean-v-huddleston/","https://www.courtlistener.com/api/rest/v3/clusters/110825/",1983,"1982-021",2,8,0
"justice scalia","majority",FALSE,"Growe v. Emison",1993-02-23,"507 U.S. 25","https://www.courtlistener.com/opinion/112818/growe-v-emison/","https://www.courtlistener.com/api/rest/v3/clusters/112818/",1993,"1992-029",1,9,0
"justice marshall","dissenting",TRUE,"St. Louis Southwestern R. Co. v. Dickerson",1985-03-04,"470 U.S. 409","https://www.courtlistener.com/opinion/111367/st-louis-southwestern-r-co-v-dickerson/","https://www.courtlistener.com/api/rest/v3/clusters/111367/",1985,"1984-044",1,7,0
"justice stewart","majority",FALSE,"Greenbelt Cooperative Publishing Assn., Inc. v. Bresler",1970-05-18,"398 U.S. 6","https://www.courtlistener.com/opinion/108146/greenbelt-cooperative-publishing-assn-inc-v-bresler/","https://www.courtlistener.com/api/rest/v3/clusters/108146/",1970,"1969-094",2,8,0
"justice white","concurring",FALSE,"Greenbelt Cooperative Publishing Assn., Inc. v. Bresler",1970-05-18,"398 U.S. 6","https://www.courtlistener.com/opinion/108146/greenbelt-cooperative-publishing-assn-inc-v-bresler/","https://www.courtlistener.com/api/rest/v3/clusters/108146/",1970,"1969-094",2,8,0
"justice brennan","majority",FALSE,"Ward v. Monroeville",1972-11-14,"409 U.S. 57","https://www.courtlistener.com/opinion/108629/ward-v-monroeville/","https://www.courtlistener.com/api/rest/v3/clusters/108629/",1972,"1972-008",2,7,2
"justice thomas","majority",FALSE,"California Dept. of Corrections v. Morales",1995-04-25,"514 U.S. 499","https://www.courtlistener.com/opinion/117925/california-dept-of-corrections-v-morales/","https://www.courtlistener.com/api/rest/v3/clusters/117925/",1995,"1994-049",1,7,2
"justice stevens","dissenting",FALSE,"California Dept. of Corrections v. Morales",1995-04-25,"514 U.S. 499","https://www.courtlistener.com/opinion/117925/california-dept-of-corrections-v-morales/","https://www.courtlistener.com/api/rest/v3/clusters/117925/",1995,"1994-049",1,7,2
"justice rehnquist","majority",FALSE,"Custis v. United States",1994-05-23,"511 U.S. 485","https://www.courtlistener.com/opinion/1087955/custis-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/1087955/",1994,"1993-051",1,6,3
